,open,high,low,close,volume,ADX,9 period highs,1th % periodic high change,2th % periodic high change,3th % periodic high change,4th % periodic high change,5th % periodic high change,6th % periodic high change,7th % periodic high change,8th % periodic high change,9th % periodic high change,10th % periodic high change,11th % periodic high change,12th % periodic high change,13th % periodic high change,14th % periodic high change,15th % periodic high change,16th % periodic high change,17th % periodic high change,18th % periodic high change,19th % periodic high change,20th % periodic high change,21th % periodic high change,22th % periodic high change,23th % periodic high change,24th % periodic high change,25th % periodic high change,26th % periodic high change,27th % periodic high change,28th % periodic high change,29th % periodic high change,30th % periodic high change,31th % periodic high change,32th % periodic high change,33th % periodic high change,34th % periodic high change,35th % periodic high change,36th % periodic high change,37th % periodic high change,38th % periodic high change,39th % periodic high change,40th % periodic high change,41th % periodic high change,42th % periodic high change,43th % periodic high change,44th % periodic high change,45th % periodic high change,46th % periodic high change,47th % periodic high change,48th % periodic high change,49th % periodic high change,50th % periodic high change
12,226.1139,226.8219,219.7119,223.1722,2543105,,231.5486,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
13,223.1722,225.2563,222.7734,224.309,175525,,227.3016,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75
14,224.0633,224.8674,223.6309,224.3888,96476,43.26,227.3016,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75
15,224.2691,224.3688,223.97,224.0697,38047,40.7,226.6424,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03
16,223.3816,223.7705,222.873,223.5811,37707,38.14,226.1738,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24
17,223.5811,223.6708,222.6237,223.6608,17108,35.32,226.1738,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24
18,223.6708,223.8603,223.2819,223.7406,9736,31.9,226.1738,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24
19,223.5212,224.4586,223.2221,224.2691,79086,27.54,226.1738,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24
20,223.7605,226.3632,223.2221,225.0569,244330,23.85,225.0569,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72
21,225.0669,230.2922,224.6107,228.592,6595269,21.65,228.592,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19
22,228.6368,234.5303,227.7493,233.0145,8062272,22.32,233.0145,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
23,233.0245,233.922,231.4589,231.8478,4280918,22.26,233.0145,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
24,231.8478,233.1541,231.07,232.3414,2863556,21.89,233.0145,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
25,232.3663,233.3935,232.2866,233.184,2367395,21.36,233.184,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
26,233.184,235.5773,233.1741,235.0388,4091122,21.22,235.0388,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59
27,235.0588,235.9363,233.912,235.1186,6539099,20.45,235.1186,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63
28,235.1585,235.5873,234.7297,235.338,979811,19.42,235.338,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
29,235.338,235.3679,235.1585,235.1884,16846,18.4,235.338,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
30,235.1984,235.3081,235.0787,235.2083,8797,16.24,235.338,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
31,235.2283,235.2283,234.3408,234.989,21501,14.13,235.338,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
32,234.0416,234.0416,232.6555,232.8649,10832,12.6,235.338,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
33,233.1342,233.4932,232.9547,233.3436,3632,12.02,235.338,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
34,233.3336,233.3336,232.4461,232.5458,14863,11.73,235.338,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
35,233.1342,233.9818,233.1043,233.5829,34852,12.96,235.338,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
36,233.1259,235.7957,231.4489,233.0943,79941,13.63,235.338,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
37,233.1863,234.261,231.0201,231.5287,4211052,13.86,235.2083,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
38,231.5088,232.6057,230.5016,231.3193,3200978,13.09,235.2083,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
39,231.2993,233.5331,231.2993,232.6655,2956482,12.68,234.989,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57
40,232.6954,233.7524,231.8478,232.117,1877649,13.1,233.5829,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
